evo_id,pokemon,hp,atk,def,spatk,spdef,spd,types,evo_lvl,evo_item,evo_stage,exp_type
1,Bulbasaur,45,49,49,65,65,45,Grass/Poison,0,,,Medium Slow
1,Ivysaur,60,62,63,80,80,60,Grass/Poison,16,,,Medium Slow
1,Venusaur,80,82,83,100,100,80,Grass/Poison,32,,,Medium Slow
2,Charmander,39,52,43,60,50,65,Fire,0,,,Medium Slow
2,Charmeleon,58,64,58,80,65,80,Fire,16,,,Medium Slow
2,Charizard,78,84,78,109,85,100,Fire/Flying,36,,,Medium Slow
3,Squirtle,44,48,65,50,64,43,Water,0,,,Medium Slow
3,Wartortle,59,63,80,65,80,58,Water,16,,,Medium Slow
3,Blastoise,79,83,100,85,105,78,Water,36,,,Medium Slow
4,Caterpie,45,30,35,20,20,45,Bug,0,,,Medium Fast
4,Metapod,50,20,55,25,25,30,Bug,7,,,Medium Fast
4,Butterfree,60,45,50,80,80,70,Bug/Flying,10,,,Medium Fast
5,Weedle,40,35,30,20,20,50,Bug/Poison,0,,,Medium Fast
5,Kakuna,45,25,50,25,25,35,Bug/Poison,7,,,Medium Fast
5,Beedrill,65,80,40,45,80,75,Bug/Poison,10,,,Medium Fast
6,Pidgey,40,45,40,35,35,56,Flying/Normal,0,,,Medium Slow
6,Pidgeotto,63,60,55,50,50,71,Flying/Normal,18,,,Medium Slow
6,Pidgeot,83,80,75,70,70,91,Flying/Normal,36,,,Medium Slow
7,Rattata,30,56,35,25,35,72,Normal,0,,,Medium Fast
7,Raticate,55,81,60,50,70,97,Normal,20,,,Medium Fast
8,Spearow,40,60,30,31,31,70,Flying/Normal,0,,,Medium Fast
8,Fearow,65,90,65,61,61,100,Flying/Normal,20,,,Medium Fast
9,Ekans,35,60,44,40,54,55,Poison,0,,,Medium Fast
9,Arbok,60,85,69,65,79,80,Poison,22,,,Medium Fast
10,Pikachu,35,55,30,50,40,90,Electric,0,,,Medium Fast
10,Raichu,60,90,55,90,80,100,Electric,0,thunderstone,,Medium Fast
10,Pichu,20,40,15,35,35,60,Electric,0,,,Medium Fast
11,Sandshrew,50,75,85,20,30,40,Ground,0,,,Medium Fast
11,Sandslash,75,100,110,45,55,65,Ground,22,,,Medium Fast
12,Nidoran_f,55,47,52,40,40,41,Poison,0,,,Medium Slow
12,Nidorina,70,62,67,55,55,56,Poison,16,,,Medium Slow
12,Nidoqueen,90,82,87,75,85,76,Ground/Poison,16,moonstone,,Medium Slow
13,Nidoran_m,46,57,40,40,40,50,Poison,0,,,Medium Slow
13,Nidorino,61,72,57,55,55,65,Poison,16,,,Medium Slow
13,Nidoking,81,92,77,85,75,85,Ground/Poison,16,moonstone,,Medium Slow
14,Clefairy,70,45,48,60,65,35,Normal,0,,,Fast
14,Clefable,95,70,73,85,90,60,Normal,0,moonstone,,Fast
14,Cleffa,50,25,28,45,55,15,Normal,0,,,Fast
15,Vulpix,38,41,40,50,65,65,Fire,0,,,Medium Fast
15,Ninetales,73,76,75,81,100,100,Fire,0,firestone,,Medium Fast
16,Jigglypuff,115,45,20,45,25,20,Normal,0,,,Fast
16,Wigglytuff,140,70,45,75,50,45,Normal,0,moonstone,,Fast
16,Igglybuff,90,30,15,40,20,15,Normal,0,,,Fast
17,Zubat,40,45,35,30,40,55,Flying/Poison,0,,,Medium Fast
17,Golbat,75,80,70,65,75,90,Flying/Poison,22,,,Medium Fast
17,Crobat,85,90,80,70,80,130,Flying/Poison,22,,,Medium Fast
18,Oddish,45,50,55,75,65,30,Grass/Poison,0,,,Medium Slow
18,Gloom,60,65,70,85,75,40,Grass/Poison,21,,,Medium Slow
18,Vileplume,75,80,85,100,90,50,Grass/Poison,21,leafstone,,Medium Slow
19,Paras,35,70,55,45,55,25,Bug/Grass,0,,,Medium Fast
19,Parasect,60,95,80,60,80,30,Bug/Grass,24,,,Medium Fast
20,Venonat,60,55,50,40,55,45,Bug/Poison,0,,,Medium Fast
20,Venomoth,70,65,60,90,75,90,Bug/Poison,31,,,Medium Fast
21,Diglett,10,55,25,35,45,95,Ground,0,,,Medium Fast
21,Dugtrio,35,80,50,50,70,120,Ground,26,,,Medium Fast
22,Meowth,40,45,35,40,40,90,Normal,0,,,Medium Fast
22,Persian,65,70,60,65,65,115,Normal,28,,,Medium Fast
23,Psyduck,50,52,48,65,50,55,Water,0,,,Medium Fast
23,Golduck,80,82,78,95,80,85,Water,33,,,Medium Fast
24,Mankey,40,80,35,35,45,70,Fighting,0,,,Medium Fast
24,Primeape,65,105,60,60,70,95,Fighting,28,,,Medium Fast
25,Growlithe,55,70,45,70,50,60,Fire,0,,,Slow
25,Arcanine,90,110,80,100,80,95,Fire,0,firestone,,Slow
26,Poliwag,40,50,40,40,40,90,Water,0,,,Medium Slow
26,Poliwhirl,65,65,65,50,50,90,Water,25,,,Medium Slow
26,Poliwrath,90,85,95,70,90,70,Fighting/Water,25,waterstone,,Medium Slow
27,Abra,25,20,15,105,55,90,Psychic,0,,,Medium Slow
27,Kadabra,40,35,30,120,70,105,Psychic,16,,,Medium Slow
27,Alakazam,55,50,45,135,85,120,Psychic,16,trade,,Medium Slow
28,Machop,70,80,50,35,35,35,Fighting,0,,,Medium Slow
28,Machoke,80,100,70,50,60,45,Fighting,28,,,Medium Slow
28,Machamp,90,130,80,65,85,55,Fighting,28,trade,,Medium Slow
29,Bellsprout,50,75,35,70,30,40,Grass/Poison,0,,,Medium Slow
29,Weepinbell,65,90,50,85,45,55,Grass/Poison,21,,,Medium Slow
29,Victreebel,80,105,65,100,60,70,Grass/Poison,21,leafstone,,Medium Slow
30,Tentacool,40,40,35,50,100,70,Poison/Water,0,,,Slow
30,Tentacruel,80,70,65,80,120,100,Poison/Water,30,,,Slow
31,Geodude,40,80,100,30,30,20,Ground/Rock,0,,,Medium Slow
31,Graveler,55,95,115,45,45,35,Ground/Rock,25,,,Medium Slow
31,Golem,80,110,130,55,65,45,Ground/Rock,25,trade,,Medium Slow
32,Ponyta,50,85,55,65,65,90,Fire,0,,,Medium Fast
32,Rapidash,65,100,70,80,80,105,Fire,40,,,Medium Fast
